Date,Close
12/17/2018,2.857
12/18/2018,2.825
12/19/2018,2.778
12/20/2018,2.789
12/21/2018,2.792
12/24/2018,2.749
12/26/2018,2.797
12/27/2018,2.743
12/28/2018,2.736
12/31/2018,2.686
1/2/2019,2.661
1/3/2019,2.554
1/4/2019,2.659
1/7/2019,2.682
1/8/2019,2.716
1/9/2019,2.728
1/10/2019,2.731
1/11/2019,2.701
1/14/2019,2.71
1/15/2019,2.711
1/16/2019,2.731
1/17/2019,2.749
1/18/2019,2.784
1/22/2019,2.73
1/23/2019,2.755
1/24/2019,2.712
1/25/2019,2.753
1/28/2019,2.744
1/29/2019,2.712
1/30/2019,2.695
1/31/2019,2.635
2/1/2019,2.691
2/4/2019,2.724
2/5/2019,2.702
2/6/2019,2.702
2/7/2019,2.652
2/8/2019,2.632
2/11/2019,2.661
2/12/2019,2.684
2/13/2019,2.708
2/14/2019,2.657
2/15/2019,2.666
2/19/2019,2.647
2/20/2019,2.654
2/21/2019,2.688
2/22/2019,2.655
2/25/2019,2.673
2/26/2019,2.636
2/27/2019,2.693
2/28/2019,2.711
3/1/2019,2.755
3/4/2019,2.722
3/5/2019,2.722
3/6/2019,2.692
3/7/2019,2.636
3/8/2019,2.625
3/11/2019,2.643
3/12/2019,2.605
3/13/2019,2.611
3/14/2019,2.63
3/15/2019,2.593
3/18/2019,2.602
3/19/2019,2.614
3/20/2019,2.535
3/21/2019,2.537
3/22/2019,2.455
3/25/2019,2.42
3/26/2019,2.414
3/27/2019,2.374
3/28/2019,2.389
3/29/2019,2.414
4/1/2019,2.497
4/2/2019,2.481
4/3/2019,2.517
4/4/2019,2.512
4/5/2019,2.501
4/8/2019,2.519
4/9/2019,2.499
4/10/2019,2.477
4/11/2019,2.504
4/12/2019,2.56
4/15/2019,2.553
4/16/2019,2.592
4/17/2019,2.592
4/18/2019,2.56
4/22/2019,2.59
4/23/2019,2.57
4/24/2019,2.522
4/25/2019,2.534
4/26/2019,2.505
4/29/2019,2.536
4/30/2019,2.509
5/1/2019,2.511
5/2/2019,2.552
5/3/2019,2.531
5/6/2019,2.5
5/7/2019,2.448
5/8/2019,2.482
5/9/2019,2.457
5/10/2019,2.455
5/13/2019,2.405
5/14/2019,2.419
5/15/2019,2.379
5/16/2019,2.405
5/17/2019,2.393
5/20/2019,2.416
5/21/2019,2.426
5/22/2019,2.393
5/23/2019,2.296
5/24/2019,2.324
5/28/2019,2.268
5/29/2019,2.236
5/30/2019,2.227
5/31/2019,2.142
6/3/2019,2.081
6/4/2019,2.119
6/5/2019,2.123
6/6/2019,2.124
6/7/2019,2.084
6/10/2019,2.143
6/11/2019,2.14
6/12/2019,2.127
6/13/2019,2.091
6/14/2019,2.093
6/17/2019,2.086
6/18/2019,2.06
6/19/2019,2.029
6/20/2019,2.001
6/21/2019,2.068
6/24/2019,2.021
6/25/2019,1.994
6/26/2019,2.049
6/27/2019,2.005
6/28/2019,2
7/1/2019,2.034
7/2/2019,1.976
7/3/2019,1.953
7/5/2019,2.048
7/8/2019,2.034
7/9/2019,2.054
7/10/2019,2.061
7/11/2019,2.12
7/12/2019,2.106
7/15/2019,2.092
7/16/2019,2.122
7/17/2019,2.061
7/18/2019,2.038
7/19/2019,2.048
7/22/2019,2.043
7/23/2019,2.074
7/24/2019,2.05
7/25/2019,2.074
7/26/2019,2.081
7/29/2019,2.055
7/30/2019,2.061
7/31/2019,2.021
8/1/2019,1.894
8/2/2019,1.855
8/5/2019,1.735
8/6/2019,1.739
8/7/2019,1.684
8/8/2019,1.716
8/9/2019,1.734
