Date,Bitcoin,Gold,NASDAQ,Treasury Yield 10Years
4/1/2017,0.004532822,0.097519919,0.045412476,0.50789826
4/2/2017,0.004857277,0.097519919,0.045412476,0.50789826
4/3/2017,0.005480732,0.101447649,0.043807331,0.495582329
4/4/2017,0.005322622,0.106160925,0.044177067,0.495582329
4/5/2017,0.005195805,0.095387723,0.040965858,0.497456493
4/6/2017,0.006062714,0.100886545,0.04232733,0.493708166
4/7/2017,0.005976172,0.105375379,0.042220057,0.501740295
4/8/2017,0.005961947,0.105375379,0.042220057,0.501740295
4/9/2017,0.00614042,0.105375379,0.042220057,0.501740295
4/10/2017,0.006129341,0.101784312,0.042513622,0.498527443
4/11/2017,0.006397049,0.124340703,0.041181323,0.481659973
4/12/2017,0.006327577,0.128941757,0.038301306,0.481124498
4/13/2017,0.005862082,0.140837168,0.035383616,0.46398929
4/14/2017,0.00583603,0.140837168,0.035383616,0.46398929
4/15/2017,0.005910593,0.140837168,0.035383616,0.46398929
4/16/2017,0.006066605,0.140837168,0.035383616,0.46398929
4/17/2017,0.006230855,0.144764897,0.040242328,0.469344043
4/18/2017,0.006496767,0.147345977,0.039553621,0.449799197
4/19/2017,0.006476105,0.135787229,0.040829412,0.455957162
4/20/2017,0.006757437,0.136348334,0.045886636,0.466398929
4/21/2017,0.006652181,0.14252048,0.045297668,0.465327979
4/22/2017,0.006796815,0.14252048,0.045297668,0.465327979
4/23/2017,0.006429988,0.14252048,0.045297668,0.465327979
4/24/2017,0.007072909,0.129502862,0.052194292,0.474966533
4/25/2017,0.007302586,0.118056335,0.056114973,0.489424364
4/26/2017,0.007536007,0.114128605,0.056090486,0.485140562
4/27/2017,0.00808475,0.115924139,0.058321307,0.481124498
4/28/2017,0.008066034,0.118617439,0.058196162,0.477376171
4/29/2017,0.008145539,0.118617439,0.058196162,0.477376171
4/30/2017,0.008536321,0.118617439,0.058196162,0.477376171
5/1/2017,0.009639944,0.10425317,0.062335111,0.488888889
5/2/2017,0.010107386,0.106273146,0.062689824,0.481124498
5/3/2017,0.010665411,0.096509932,0.060542709,0.484605087
5/4/2017,0.011377805,0.074177982,0.060805218,0.497188755
5/5/2017,0.011644014,0.072270228,0.063196925,0.496117805
5/6/2017,0.011993624,0.072270228,0.063196925,0.496117805
5/7/2017,0.01226178,0.072270228,0.063196925,0.496117805
5/8/2017,0.014157899,0.072831332,0.063375728,0.502543507
5/9/2017,0.014637169,0.060487038,0.065062695,0.510843373
5/10/2017,0.015112846,0.063853664,0.065867174,0.512717537
5/11/2017,0.016032756,0.06991359,0.064627079,0.50896921
5/12/2017,0.014171225,0.07384132,0.065122924,0.491566265
5/13/2017,0.015379058,0.07384132,0.065122924,0.491566265
5/14/2017,0.015438948,0.07384132,0.065122924,0.491566265
5/15/2017,0.014383686,0.07653462,0.067798778,0.492369478
5/16/2017,0.014324094,0.083716755,0.069699372,0.489959839
5/17/2017,0.015890817,0.108966446,0.054774221,0.459705489
5/18/2017,0.016632856,0.102457637,0.058903705,0.464257028
5/19/2017,0.018116031,0.103579845,0.061591826,0.46746988
5/20/2017,0.019568664,0.103579845,0.061591826,0.46746988
5/21/2017,0.018916911,0.103579845,0.061591826,0.46746988
5/22/2017,0.020896276,0.112557513,0.066288686,0.469879518
5/23/2017,0.023097534,0.105936483,0.066767578,0.478179384
5/24/2017,0.024942446,0.103243183,0.069054861,0.473092369
5/25/2017,0.02286636,0.107058692,0.073029109,0.470147256
5/26/2017,0.021330778,0.120300752,0.073492979,0.468808568
5/27/2017,0.018882025,0.120300752,0.073492979,0.468808568
5/28/2017,0.020632762,0.120300752,0.073492979,0.468808568
5/29/2017,0.022127169,0.120300752,0.073492979,0.468808568
5/30/2017,0.02092727,0.114128605,0.072834364,0.459973226
5/31/2017,0.022588319,0.125238469,0.072394981,0.454350736
6/1/2017,0.024407029,0.119627427,0.076940372,0.459973226
6/2/2017,0.025614864,0.13062507,0.082488709,0.444444444
6/3/2017,0.026016128,0.13062507,0.082488709,0.444444444
6/4/2017,0.025963125,0.13062507,0.082488709,0.444444444
6/5/2017,0.028583314,0.133430591,0.081536575,0.45060241
6/6/2017,0.031224313,0.15037594,0.079596471,0.441231593
6/7/2017,0.029262315,0.145550443,0.081696497,0.449531459
6/8/2017,0.030362199,0.130063966,0.083990348,0.453815261
6/9/2017,0.030634548,0.12131074,0.073279398,0.455153949
6/10/2017,0.03248964,0.12131074,0.073279398,0.455153949
6/11/2017,0.032645356,0.12131074,0.073279398,0.455153949
6/12/2017,0.028176358,0.118617439,0.070225308,0.458902276
6/13/2017,0.029035633,0.118280777,0.07445081,0.45729585
6/14/2017,0.025881675,0.126136236,0.072053453,0.438821954
6/15/2017,0.025255973,0.103018741,0.069288197,0.445247657
6/16/2017,0.026064189,0.105038716,0.067995407,0.443908969
6/17/2017,0.028120212,0.105038716,0.067995407,0.443908969
6/18/2017,0.026509322,0.105038716,0.067995407,0.443908969
6/19/2017,0.027127837,0.094041073,0.076204575,0.452744311
6/20/2017,0.029107052,0.090450006,0.071407977,0.442838019
6/21/2017,0.028617602,0.093143306,0.075728531,0.443373494
6/22/2017,0.0288618,0.097856582,0.075986308,0.442838019
6/23/2017,0.029453214,0.107507575,0.078673464,0.44042838
6/24/2017,0.027414109,0.107507575,0.078673464,0.44042838
6/25/2017,0.027124989,0.107507575,0.078673464,0.44042838
6/26/2017,0.02546364,0.096397711,0.076970464,0.438554217
6/27/2017,0.026571606,0.096509932,0.067511828,0.454886212
6/28/2017,0.026906093,0.098305465,0.075771808,0.461044177
6/29/2017,0.026375019,0.094041073,0.067298247,0.473360107
6/30/2017,0.025499427,0.090113343,0.066928465,0.482730924
7/1/2017,0.024806349,0.090113343,0.066928465,0.482730924
7/2/2017,0.02588317,0.090113343,0.066928465,0.482730924
7/3/2017,0.026745438,0.064526989,0.06407197,0.494511379
7/4/2017,0.027308103,0.064526989,0.06407197,0.494511379
7/5/2017,0.027313345,0.06733251,0.067910737,0.491298527
7/6/2017,0.027411715,0.069352486,0.06213375,0.500937082
7/7/2017,0.026065684,0.05409045,0.068119632,0.507095047
7/8/2017,0.026854439,0.05409045,0.068119632,0.507095047
7/9/2017,0.026062391,0.05409045,0.068119632,0.507095047
7/10/2017,0.023878203,0.05801818,0.070312827,0.501204819
7/11/2017,0.023357608,0.059701493,0.071903822,0.498795181
7/12/2017,0.024271681,0.064751431,0.078289578,0.489424364
7/13/2017,0.023658704,0.062731456,0.079538126,0.495046854
7/14/2017,0.021793731,0.074290203,0.083116314,0.487282463
7/15/2017,0.018282975,0.074290203,0.083116314,0.487282463
7/16/2017,0.017249273,0.074290203,0.083116314,0.487282463
